"ngram1","ngram2","pubyear","count"
"649","Wind farm","Electricity generation",2015,5
"650","Wind speed","Flight control surfaces",2011,5
"651","Renewable energy","Environmental flow",2011,5
"652","Wind power","Aircraft principal axes",2014,5
"653","Epicyclic gearing","Cost reduction",2011,5
"654","Water turbine","Electricity generation",2011,5
"655","Silicone resin","Polyester resin",2011,5
"656","Singleton (mathematics)","Control unit",2012,5
"657","Water treatment","Water cooling",2013,5
"658","Surface area","Radioactive source",2010,5
"659","Throughput (business)","Renewable fuels",2013,5
"660","Wind speed","Vertical plane",2011,5
"661","Wind direction","Turbine blade",2011,5
"662","Torsion spring","Potential energy",2014,5
"663","Supply network","Pulse-width modulation",2011,5
"664","Wind farm","Surge arrester",2011,5
"665","Mechanical energy","Electric machine",2009,5
"666","Electrical energy","AC power",2015,5
"667","Renewable energy","Control System",2011,5
"668","Magnetic flux","Fibre-reinforced plastic",2015,5
"669","Wind power","Electrical energy",2006,5
"670","Wind power","Alternator",2010,5
"671","Wind power","Electric power transmission",2011,5
"672","Control System","AC power",2007,5
"673","Wind speed","Wind direction",2009,5
"674","Wind speed","Turbine blade",2015,5
"675","Utility frequency","Synchronous motor",2011,5
"676","Standard deviation","Sound intensity",2011,5
"677","Electrical energy","Alternating current",2011,5
"678","Rotational speed","Epicyclic gearing",2011,5
"679","Wind power","Management system",2014,5
"680","Synchronous motor","Alternator",2011,5
"681","Kinetic energy","AC power",2015,5
"682","Wind power","Electric power system",2011,5
"683","Fluid dynamics","Decibel",2011,5
"684","Internal combustion engine","Electric generator",2011,5
"685","Brake pad","Brake lining",2015,5
"686","Syncword","Line voltage",2011,5
"687","Probability distribution","Normal distribution",2011,5
"688","Wind speed","Wind power",2009,5
"689","Wind speed","Mechanical system",2011,5
"690","Wind farm","Alternator",2014,5
"691","Turbine blade","Helicopter rotor",2014,5
"692","Helicopter rotor","Flight control surfaces",2012,5
"693","Reference range","Control theory",2015,5
"694","Mechanical energy","Energy storage",2008,5
"695","Renewable energy","Energy storage",2015,5
"696","Wind tunnel","Wind power",2011,5
"697","Heat exchanger","Fuel cell",2012,5
"698","Standard deviation","High- and low-level",2011,5
"699","Wind speed","Concept map",2011,5
"700","Water turbine","Electrical energy",2014,5
"701","Plane of rotation","Centrifugal force",2015,5
"702","Power module","Motor vehicle",2011,5
"703","Wind farm","Kinetic energy",2015,5
"704","Thermal energy","Electrical element",2011,5
"705","Wave power","Electrical energy",2014,5
"706","Rotational speed","AC power",2012,5
"707","Wind farm","Control System",2014,5
"708","Metal matrix composite","Liquid",2011,5
"709","Generation time","Electricity generation",2011,5
"710","Wind power","Block diagram",2013,5
"711","Water stagnation","Bipolar electrochemistry",2013,5
"712","Series and parallel circuits","Control arm",2011,5
"713","Wind farm","Energy storage",2012,5
"714","Communications system","Base station",2011,5
"715","Solar irradiance","Electricity generation",2011,5
"716","Photovoltaic system","Fuel cell",2014,5
"717","Dynamical system","Bayesian network",2012,5
"718","Energy storage","Electric power transmission",2011,5
"719","Wind wave","Action level",2014,5
"720","Energy storage","Electrical energy",2012,5
"721","Fluid dynamics","Electrical energy",2009,5
"722","Wind power","Kinetic energy",2013,5
"723","Rolling-element bearing","Lubricant",2011,5
"724","Wind power","Power curve",2008,5
"725","Wind","Turbine",2014,5
"726","Thermal energy","Electrical energy",2014,5
"727","Wave power","Carbon dioxide",2014,5
"728","Renewable energy","Kinetic energy",2009,5
"729","Steam turbine","Electrical energy",2007,5
"730","Turbine blade","Composite material",2013,5
"731","Wind power","Power curve",2009,5
"732","Rotational speed","Dynamic pressure",2012,5
"733","Wind farm","Signaling (telecommunications)",2009,5
"734","Wind direction","Control System",2014,5
"735","Wind direction","Electricity generation",2011,5
"736","Metal matrix composite","Friction welding",2011,5
"737","Wind power","Beaufort scale",2014,5
"738","Motive power","Alternator",2013,5
"739","Wind power","Frequency changer",2013,5
"740","Electric generator","Alternating current",2013,5
"741","Wind power","Signaling (telecommunications)",2014,5
"742","Energy transformation","Electrical energy",2013,5
"743","Wind speed","Boundary layer",2008,5
"744","Steam turbine","Mechanical energy",2007,5
"745","Wind power","Chemical reaction",2008,5
"746","Mechanical energy","Heat pump",2008,5
"747","Wind speed","Surface area",2011,5
"748","Wind farm","Syncword",2015,5
"749","Rotational speed","Angle of attack",2012,5
"750","Kinetic energy","Fluid dynamics",2014,5
"751","Power iteration","Electrical energy",2011,5
"752","Machine control","Electric machine",2009,4
"753","Liquid fuel","Electricity generation",2009,4
"754","Network performance","Electric power distribution",2015,4
"755","Cost reduction","Control logic",2011,4
"756","Thermal energy","Liquid fuel",2008,4
"757","Wind power","Coolant",2008,4
"758","Wind power","Engine-generator",2015,4
"759","Wind power","Electricity generation",2012,4
"760","Pole Position (video game)","Pole position",2011,4
"761","Wind power","Water level",2006,4
"762","Turbine blade","Slewing bearing",2014,4
"763","Flight control surfaces","Electric machine",2014,4
"764","Room temperature","Polar regions of Earth",2011,4
"765","Electrical energy","Alternating current",2009,4
"766","Data processing","Control System",2011,4
"767","Thermal power station","Lateral surface",2009,4
"768","Hydraulics","Electrical energy",2011,4
"769","View Point","Solar cell",2011,4
"770","Wind speed","Surface area",2009,4
"771","Wind engineering","Surface area",2011,4
"772","Sound level","Mumbai Police Detection Unit",2014,4
"773","Electric machine","Cryogenics",2009,4
"774","Fuel cell","Electromagnetic spectrum",2011,4
"775","Steel","Centrifugal force",2015,4
"776","Control System","Boost converter",2010,4
"777","Rotational speed","Direct current",2013,4
"778","Synchronous condenser","Alternator",2013,4
"779","Induction generator","Electrical energy",2011,4
"780","Rotation around a fixed axis","Flight control surfaces",2009,4
"781","Mechanical energy","Drive wheel",2014,4
"782","Energy storage","Electrical energy",2013,4
"783","Leakage (electronics)","Contact Point",2011,4
"784","Tree (data structure)","Star network",2011,4
"785","World Heroes","Working animal",2013,4
"786","Space form","Electric machine",2015,4
"787","Elastic modulus","Deep structure and surface structure",2008,4
"788","Magnetic core","Dental notation",2013,4
"789","Vacuum energy","Renewable energy",2014,4
"790","Turbine blade","Electricity generation",2013,4
"791","Electric power distribution","Electrical load",2013,4
"792","Standard deviation","Power curve",2014,4
"793","Renewable energy","Electric power conversion",2013,4
"794","Solar cell","Fuel cell",2013,4
"795","Transmission line","Frequency band",2011,4
"796","Wind power","Thermal energy",2013,4
"797","Wind farm","Condition monitoring",2012,4
"798","Conductive polymer","Composite material",2013,4
"799","Centrifugal force","Beaufort scale",2015,4
"800","Wind power","Circulator pump",2009,4
"801","Wind farm","Heating system",2008,4
"802","Electric power conversion","Diode bridge",2006,4
"803","Wind power","Helicopter rotor",2010,4
"804","Flight control surfaces","Centrifugal force",2012,4
"805","Wind power","Rotational speed",2006,4
"806","Weight transfer","HVAC",2008,4
"807","Neuromuscular junction","Electric machine",2008,4
"808","Solar panel","Drinking water",2009,4
"809","Wind power","HVDC converter station",2014,4
"810","Water stagnation","Water",2013,4
"811","Structural element","Condition monitoring",2013,4
"812","Rotational speed","Mechanical energy",2015,4
"813","Wind power","Wave power",2014,4
"814","Wind power","Volumetric flow rate",2011,4
"815","Greenhouse gas","Electricity generation",2011,4
"816","Wind farm","Fusion energy gain factor",2012,4
"817","Hybrid material","Glass fiber",2015,4
"818","Steam turbine","Distilled water",2013,4
"819","Wind power","Rolling-element bearing",2013,4
"820","Latent heat","Data storage device",2011,4
"821","Heat exchanger","Exhaust gas",2008,4
"822","Volume (thermodynamics)","Superheated steam",2011,4
"823","Torsional vibration","Electric power system",2013,4
"824","Electric power transmission","Electric power system",2011,4
"825","Electric machine","Characteristic curve",2014,4
"826","Wind power","Fuel cell",2011,4
"827","Lift (force)","Drag (physics)",2011,4
"828","Wind speed","Control System",2010,4
"829","Kinetic energy","Electricity generation",2011,4
"830","Electrical energy","Chemical reactor",2014,4
"831","Wind direction","Rotational speed",2013,4
"832","Wind farm","Electrical energy",2012,4
"833","Rotational speed","Brake force",2015,4
"834","Power semiconductor device","Driver circuit",2011,4
"835","Wind direction","Euler angles",2011,4
"836","Lateral movement","Heat sink",2011,4
"837","Turbine blade","Flight control surfaces",2011,4
"838","Electric machine","Current density",2014,4
"839","Rotational speed","Alternator",2011,4
"840","Wind speed","Helicopter rotor",2011,4
"841","Geopotential height","Exhaust gas",2008,4
"842","Induction generator","AC power",2015,4
"843","Wind power","Coolant",2009,4
"844","Step response","Kinetic energy",2011,4
"845","Time of arrival","Dynamic pressure",2011,4
"846","Phase angle","Alternating current",2015,4
"847","Hydropower","Electrical energy",2013,4
"848","Energy transformation","Direct current",2011,4
"849","Time","Mumbai Police Detection Unit",2014,4
"850","Pollution","Electric generator",2011,4
"851","Energy consumption","Electricity generation",2011,4
"852","Torsion spring","Operating point",2011,4
"853","Electric machine","Electrical energy",2008,4
"854","Stirling engine","Solar thermal energy",2014,4
"855","Fluid dynamics","Curve",2014,4
"856","Electrical energy","Deadweight loss",2013,4
"857","Wind power","Aerodynamic force",2008,4
"858","Electric machine","Electricity generation",2013,4
"859","Wind power","Rise time",2010,4
"860","Fusion energy gain factor","Control unit",2012,4
"861","Shoulder joint","Elbow",2011,4
"862","Wind power","Duct (flow)",2015,4
"863","Reference range","Grid connection",2012,4
"864","Wind power","Passivity (engineering)",2011,4
"865","Type Control","Renewable energy",2009,4
"866","Flue gas","Carbon dioxide",2011,4
"867","Potential energy","Hydropower",2013,4
"868","Wind power","Electric machine",2013,4
"869","Plane of rotation","Beaufort scale",2015,4
"870","Fluidized bed","Chemical reactor",2014,4
"871","Electric power system","Bellman equation",2014,4
"872","Low-pass filter","Electric machine",2014,4
"873","Cooling capacity","Channel capacity",2010,4
"874","Power-to-weight ratio","Mixture distribution",2013,4
"875","Wave power","Carbon dioxide",2011,4
"876","Tropics","Room temperature",2011,4
"877","Force","Centrifugal force",2015,4
"878","Driver circuit","Carrier wave",2011,4
"879","Oxocarbon","Carbon dioxide",2011,4
"880","Stream power","Betz's law",2009,4
"881","Solar panel","Electric power conversion",2013,4
"882","Sort (typesetting)","Galvanic anode",2012,4
"883","Water resources","Fuel cell",2011,4
"884","Yaw system","Alarm device",2011,4
"885","Thermal power station","Solar cell",2011,4
"886","Speed","Electric machine",2011,4
"887","Wind farm","Electricity generation",2008,4
"888","Structural element","Glass fiber",2013,4
"889","Rotational speed","Frequency analysis",2012,4
"890","Inorganic compounds by element","Acid salt",2011,4
"891","Signal transduction","Angular velocity",2015,4
"892","Fossil fuel","Flue gas",2011,4
"893","Electric machine","Dental notation",2013,4
"894","Energy storage device","Alternator",2013,4
"895","Wave power","Renewable energy",2011,4
"896","Pressure","Bulk cargo",2014,4
"897","Sustainable development","Renewable energy",2011,4
"898","Wind speed","Angle",2015,4
"899","Water column","Multiview orthographic projection",2008,4
"900","Heat exchanger","Coolant",2008,4
"901","Wind tunnel","Wind speed",2011,4
"902","Stirling engine","Steam turbine",2014,4
"903","Magnetic flux","Electricity generation",2013,4
"904","Wind direction","Horizontal and vertical",2014,4
"905","Electrical energy","Chemical energy",2013,4
"906","Thermometer","Electrical energy",2011,4
"907","Power outage","Bellman equation",2014,4
"908","Standard deviation","Mean",2011,4
"909","Sunlight","Solar irradiance",2009,4
"910","Friar","Electric machine",2014,4
"911","Wind power","Heat sink",2008,4
"912","Position sensor","Angular displacement",2007,4
"913","Geopotential height","Electrical energy",2008,4
"914","Wind farm","Air traffic controller",2014,4
"915","Weight transfer","Coolant",2008,4
"916","Turbine blade","Flight control surfaces",2013,4
"917","Wind farm","Control variable",2009,4
"918","Thermal energy","Ammonia production",2014,4
"919","Thermal energy storage","Energy storage",2011,4
"920","Wind power","Energy development",2013,4
"921","PID controller","Control theory",2011,4
"922","Reference range","Electrical impedance",2012,4
